"lon","lat","January","February","March","April","May","June","July","August","September","October","November","December"
289,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,-85,287.278045654297,288.837249755859,288.418395996094,287.033081054688,285.533752441406,284.100891113281,282.680358886719,281.258911132812,280.068939208984,279.786224365234,281.262268066406,284.131011962891
271,-85,287.281890869141,288.839111328125,288.419738769531,287.035888671875,285.53759765625,284.104919433594,282.683929443359,281.263092041016,280.073303222656,279.790954589844,281.266510009766,284.136260986328
273,-85,287.286529541016,288.841033935547,288.420837402344,287.03857421875,285.541656494141,284.109222412109,282.687744140625,281.267608642578,280.078308105469,279.796661376953,281.271636962891,284.142547607422
275,-85,287.289733886719,288.842102050781,288.421203613281,287.040069580078,285.544189453125,284.111938476562,282.690155029297,281.270538330078,280.081756591797,279.800750732422,281.275299072266,284.146942138672
277,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
